10252,Berukung,ikan_10252.webp,K
10253,Betok,ikan_10253.webp,K
10254,Betutu,ikan_10254.webp,K
10255,Beunteur,ikan_10255.webp,K
10256,Bilih,ikan_10256.webp,K
10257,Botia,ikan_10257.webp,K
10258,Buaya,ikan_10258.webp,K
10259,Depik,ikan_10259.webp,K
10260,Gabus,ikan_10260.webp,K
10261,Genggehek,ikan_10261.webp,K
10262,Gurame,ikan_10262.webp,K
10263,Hampal,ikan_10263.webp,K
10264,Jelawat,ikan_10264.webp,K
10266,Kancera,ikan_10266.webp,K
10267,Katak Benggala,ikan_10267.webp,K
10268,Kendia,ikan_10268.webp,K
10269,Keting,ikan_10269.webp,K
10270,Kodok,ikan_10270.webp,K
10271,Kura-Kura,ikan_10271.webp,K
10272,Lais,ikan_10272.webp,K
10273,Lalang,ikan_10273.webp,K
10274,Lalawak,ikan_10274.webp,K
10275,Lampan,ikan_10275.webp,K
10276,Lele,ikan_10276.webp,K
10277,Lempuk,ikan_10277.webp,K
10278,Lukas,ikan_10278.webp,K
10279,Mas,ikan_10279.webp,K
10280,Mujair,ikan_10280.webp,K
10281,Nila,ikan_10281.webp,K
10282,Nilem,ikan_10282.webp,K
10283,Parang,ikan_10283.webp,K
10284,Paray,ikan_10284.webp,K
10285,Patin Jambal,ikan_10285.webp,K
10286,Remis,ikan_10286.webp,K
10287,Repang,ikan_10287.webp,K
10288,Semah,ikan_10288.webp,K
10289,Sepat Rawa,ikan_10289.webp,K
10290,Sepat Siam,ikan_10290.webp,K
10291,Sepatung,ikan_10291.webp,K
10292,Seren,ikan_10292.webp,K
10293,Sidat,ikan_10293.webp,K
10294,Sili,ikan_10294.webp,K
10295,Siput,ikan_10295.webp,K
10296,Sumpit,ikan_10296.webp,K
10297,Tambakan,ikan_10297.webp,K
10298,Tawes,ikan_10298.webp,K
10299,Toman,ikan_10299.webp,K
10300,Tontong Tebu,ikan_10300.webp,K
10301,Udang Galah,ikan_10301.png,K
10302,Udang Grago,ikan_10302.png,K
10303,Udang Tawar,ikan_10303.webp,K
10304,Mola-Mola,ikan_10304.webp,K
10307,Marlin Biru,ikan_10307.webp,K
